pair,regime,regime_label,start,end,days,mean_basis_rate,min_basis_rate,max_basis_rate
IF+300ETF,0,neutral,2019-08-19,2019-08-28,8,-0.016305463569093567,-0.03271513564757078,0.007058076015648824
IF+300ETF,-1,discount,2019-08-29,2019-09-03,4,-0.04277003650505916,-0.082184969768624,-0.013455513143793667
IF+300ETF,0,neutral,2019-09-04,2019-09-05,2,0.022686964692849813,0.011479558779578703,0.033894370606120924
IF+300ETF,1,premium,2019-09-06,2019-09-06,1,0.08483817126579983,0.08483817126579983,0.08483817126579983
IF+300ETF,0,neutral,2019-09-09,2019-09-09,1,-0.017497788422376766,-0.017497788422376766,-0.017497788422376766
IF+300ETF,1,premium,2019-09-10,2019-09-16,4,0.05949047078321585,0.03446776051544538,0.07292786479382155
IF+300ETF,0,neutral,2019-09-17,2019-09-18,2,-0.1591239549744429,-0.2523334884041027,-0.06591442154478312
IF+300ETF,1,premium,2019-09-19,2019-09-19,1,0.07973464279323572,0.07973464279323572,0.07973464279323572
IF+300ETF,0,neutral,2019-09-20,2019-09-26,5,0.015666716864315706,-0.009683050170535008,0.03781311364662414
IF+300ETF,1,premium,2019-09-27,2019-09-27,1,0.03655466032670423,0.03655466032670423,0.03655466032670423
IF+300ETF,0,neutral,2019-09-30,2019-10-08,2,-0.07823300032565693,-0.08676752832454034,-0.06969847232677352
IF+300ETF,-1,discount,2019-10-09,2019-10-10,2,-0.09653726786315238,-0.10527451496428175,-0.087800020762023
IF+300ETF,0,neutral,2019-10-11,2019-10-11,1,0.04477206475840607,0.04477206475840607,0.04477206475840607
IF+300ETF,-1,discount,2019-10-14,2019-10-16,3,-0.130121232657694,-0.20484108597235623,-0.022363795779913355
IF+300ETF,0,neutral,2019-10-17,2019-10-17,1,0.16922135431191773,0.16922135431191773,0.16922135431191773
IF+300ETF,-1,discount,2019-10-18,2019-10-23,4,-0.02869076804166266,-0.044217855842700715,-0.011502896546079763
IF+300ETF,0,neutral,2019-10-24,2019-10-25,2,0.026840837086488552,0.02131288177438838,0.032368792398588725
IF+300ETF,-1,discount,2019-10-28,2019-10-31,4,-0.02742704479774511,-0.06087596820217475,-0.006173614690604082
IF+300ETF,0,neutral,2019-11-01,2019-11-01,1,0.06878078227601087,0.06878078227601087,0.06878078227601087
IF+300ETF,-1,discount,2019-11-04,2019-11-05,2,-0.023071288097941386,-0.03595393976135645,-0.010188636434526326
IF+300ETF,0,neutral,2019-11-06,2019-11-18,9,-0.001608183736048631,-0.1672326041286327,0.10719557663140482
IF+300ETF,1,premium,2019-11-19,2019-11-21,3,0.02777328944911303,0.018731721221878217,0.042179436097068784
